,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,cost,price,profit,quantity,sales
0,1,CA-2017-152156,2017-11-08,2017-11-11,second class,CG-12520,Claire Gute,consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,furniture,bookcases,Bush Somerset Collection Bookcase,464.48,901.06,436.58,4,3604.243977
1,2,CA-2017-152156,2017-11-08,2017-11-11,second class,CG-12520,Claire Gute,consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,furniture,chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",756.1,138.7,-617.4,12,1664.369269
2,3,CA-2017-138688,2017-06-12,2017-06-16,second class,DV-13045,Darrin Van Huff,corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,office supplies,labels,Self-Adhesive Address Labels For Typewriters By Universal,537.68,159.28,-378.4,12,1911.39775
3,4,US-2016-108966,2016-10-11,2016-10-18,standard class,SO-20335,Sean O'Donnell,consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,furniture,tables,Bretford Cr4500 Series Slim Rectangular Table,875.91,445.88,-430.03,13,5796.463018
4,5,US-2016-108966,2016-10-11,2016-10-18,standard class,SO-20335,Sean O'Donnell,consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,office supplies,storage,Eldon Fold 'N Roll Cart System,187.17,137.59,-49.58,19,2614.284944
5,6,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,furniture,furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",795.6,162.16,-633.44,19,3081.066152
6,7,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,office supplies,art,Newell 322,711.32,172.24,-539.08,24,4133.747724
7,8,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,technology,phones,Mitel 5320 Ip Phone Voip Phone,378.18,939.85,561.67,7,6578.957164
8,9,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,office supplies,binders,Dxl Angle-View Binders With Locking Rings By Samsill,685.93,783.4,97.47,25,19584.93743
9,10,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,office supplies,appliances,Belkin F5C206Vtel 6 Outlet Surge,124.23,824.27,700.04,9,7418.467726
10,11,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,furniture,tables,Chromcraft Rectangular Conference Tables,742.2,747.27,5.07,15,11209.08286
11,12,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,technology,phones,Konftel 250 Conference Phone - Charcoal Black,212.91,908.39,695.48,16,14534.26161
12,13,CA-2018-114412,2018-04-15,2018-04-20,standard class,AA-10480,Andrew Allen,consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,office supplies,paper,Xerox 1967,60.15,763.94,703.8,15,11459.14745
13,14,CA-2017-161389,2017-12-05,2017-12-10,standard class,IM-15070,Irene Maddox,consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,office supplies,binders,Fellowes Pb200 Plastic Comb Binding Machine,675.25,852.84,177.59,25,21321.118
14,15,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,Harold Pawlan,home office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,office supplies,appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",803.28,725.46,-77.83,1,725.4552952
15,16,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,Harold Pawlan,home office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,office supplies,binders,Storex Duratech Recycled Plastic Frosted Binders,351.75,586.56,234.81,22,12904.31631
